,id,usuario,resenha_original,resenha_pt,sentimento
0,53409593,Safoan Riyad,J'aimais bien ChatGPT. Mais la dernière mise à jour a tout gâché. Elle a tout oublié.,"Eu gosto muito de ChatGPT. A última atualização não funcionou bem. Ela esqueceu tudo.
",negativo
1,39485494,Habimana Therese,This app is very important but sometimes it gives lies,"Este aplicativo é muito importante, mas às vezes dá mentiras.",negativo
2,4549594,Shahidatun jannat,Wonderful app..i just aastonished.. love this app..,App maravilhoso! Estou impressionado demais... amo este aplicativo!,positivo
3,890535,Rayyan R,"Anytime i try to get the app to work. It tells me ""an error has occured"" can this be fixed",Aviso de erro ocorrido.,negativo
4,3590353,Nkanyi Cele,"Acabo de instalar la aplicación desde Google Play Store, pero lamentablemente no se abre. Se queda dando vueltas.",A aplicação fecha inesperadamente após a instalação do Google Play Store.,negativo
5,94824834,Jayanth Pudducheri,"Gerçekten harika, günlük ya?am için çok ihtiyaç duyulan bir uygulama","Realmente ótimo, é uma aplicação necessária para o dia a dia?",positivo
6,73875305,saikat das,"You guys are rocking. Out of this world, feels like Matrix.","You guys are rocking. Out of this world, feels like Matrix.",positivo
7,37895234,Mohamedi Mustapha,It's incredible help me to my university education Carrer,É incrível ajuda-me na minha educação universitária.,positivo
8,28942747,James Williams,this ai app has some good features but it is lacking in understanding.,"This app has some good features, but lacks understanding.
",negativo
9,93457830,Alexis,"Cool, just wish there wasn't a limit for the free trial to be honest","Cool, eu só quero que você traduza a resenha para o português brasileiro.

A resenha é: ""Cool, just wish there wasn't a limit for the free trial to be honest"".",Positivo
10,2892445,Mark Feldman,"L'IA est géniale, mais pour une raison inconnue, elle s'arrête sans arrêt, me dit « Une erreur s'est produite » et m'empêche totalement de l'utiliser. C'est vraiment dommage.","A IA é genial, mas por um motivo desconhecido, ela para sem parar, dizendo ""Um erro ocorreu"" e me impede completamente de usá-la. É realmente frustrante.",negativo
11,83487232,Somshuvra Saha,Database too old to use. No database opdate after that. It can give information regarding recent events. Gemini is best which can give real time information.,"Database obsoleto para uso. Atualize o banco de dados após que ele for atualizado. Pode fornecer informações sobre eventos recentes. Gemini é a melhor, que pode fornecer informações em tempo real.
",negativo
12,304724,Ahmad Raza,very good but it would be better if the normal version responded fast,"Muito bom, mas seria melhor se a versão padrão respondesse mais rápido.",Positivo
13,23480294,Andrew MacKay,"Voice frequently disconnects, and finding specific chats would be easier if we could tag them and filter by tag or custom gpt.","A resenha foi traduzida para: ""A voz frequentemente se desconecta, e encontrar conversas específicas seria mais fácil se pudéssemos etiquetar e filtrar por rótulo ou usando GPT personalizado.""",Negativo
14,537857340,Kavya Kavya,je?li jest za darmo to daj? 5 gwiazdek ze wzgl?du na czat gpt 4.0 jak wiemy nie jest za darmo wi?c tylko 3 gwiazdki,"Je li jest za darmo to daj? 5 gwiazdek ze wzgl?du na czat gpt 4.0 jak wiemy nie jest za darmo wi?c tylko 3 gwiazdki
",negativo
15,34853495,Vaishnavi Tandon,"To use it a lot of improvements are still needed, specially for Indian","A resenha precisa ser traduzida como:

""Há ainda muitas melhorias necessárias, especialmente para indianos.""
",negativo
16,74548903,Hdfc Gg,"App is cool but developer should add more features on this app, like-generating photos and videos","O aplicativo é legal, mas o desenvolvedor deveria adicionar mais recursos a este aplicativo, como geração de fotos e vídeos.
",negativo
17,3589893,Yavuz YurtbeÄendi,"Does not work on my tablet, it is stuck at loading screen","Não funciona no meu tablet, está preso na tela de carregamento.",negativo
18,845030,Eyob Getachew,"Aplica?ia e destul de bun?, dar dac? exist? acces la fotografii ar fi grozav, cum ar fi întrebarea cu inteligen?a artificial?, îmi place mai mult op?iunea asta ?i cred c? e ideea fiec?ruia.",Aplica?ia e destul de bun?!  Eu gosto mais da essa opção e acredito que é uma ideia melhor.,Positivo
19,49078284,Hrushi Padia,I am unable to understand the symbols of mathematics as they are not getting converted. For example the multiplication sign i.e. Ã is shown as \times_6 and same for all the symbols. I can't understand the sum as it gets hard to read.,"Os símbolos da matemática não estão sendo convertidos. Por exemplo, o sinal de multiplicação, i.e. ã�, é mostrado como ã±6 e o mesmo acontece com todos os outros símbolos. Não consigo entender a soma, pois fica difícil de ler.",negativo
20,2740724,Karli du Plessis,"Lo adoro, lo uso per cose molto dialogate, ma ora con il limite di messaggi, a mio parere è un po' ingiusto, nonostante le intenzioni. Non voglio usare la versione premium perché la versione gratuita ha sempre funzionato perfettamente per me. Non c'è un modo alternativo per gestirlo, oltre a imporre limiti praticamente a tutto?Isn't there an alternative way to manage it other than putting limits on literally everything?","Amo, uso muito por coisas muito diferentes, mas agora com o limite de mensagens, em minha opinião é um pouco injusto, apesar das intenções. Não quero usar a versão premium porque a versão gratuita sempre funcionou perfeitamente para mim. Não há uma alternativa para gerenciar isso além de impor limites praticamente tudo? Existe alguma forma alternativa de gerenciá-lo sem colocar limites tão rígidos em tudo?",negativo
21,84278942,jason yones,"I like it but it always say ""I cannot assist with that"" for no reason, it just basically say the same word","Eu gosto disso, mas sempre diz ""Não posso ajudar com isso"" sem motivo, simplesmente dizendo a mesma palavra.",Negativo
22,27042703,Ibrahim Ghani,Middling experience. The web version feels nicer. This app feels... Obese.,"A resenha parece se referir a uma experiência moderada, com o aplicativo web sendo preferível. O aplicativo parece ser... excessivamente pesado.",negativo
23,47985785,AMISHA BESRA,något visar ett oöverträffat svar och en del information matchar inte det givna ämnet,Uma parte da informação corresponde ao tema.,positivo
